物品,使用次数,胜率,KDA (K / D / A),金钱/分钟,经验/分钟
" 
					 	达贡之神力 ",4,75.0%,2.97   (6.5 / 7.3 / 15.0),497,445
" 
					 	阿哈利姆神杖 ",69,71.0%,3.18   (9.0 / 7.3 / 14.4),503,531
" 
					 	刷新球 ",20,55.0%,4.09   (12.5 / 7.6 / 18.6),576,574
" 
					 	recipe_assault ",1,0.0%,1.80   (6.0 / 5.0 / 3.0),522,476
" 
					 	强袭胸甲 ",29,82.8%,3.49   (10.9 / 7.6 / 15.4),732,678
" 
					 	恐鳌之心 ",13,92.3%,5.64   (10.0 / 4.9 / 17.8),669,634
" 
					 	黑皇杖 ",140,56.4%,2.97   (9.5 / 7.5 / 12.8),567,573
" 
					 	不朽之守护 ",8,100.0%,7.48   (8.6 / 3.4 / 16.6),595,616
" 
					 	希瓦的守护 ",47,74.5%,3.37   (7.7 / 7.1 / 16.2),569,545
" 
					 	血精石 ",17,82.4%,3.58   (11.1 / 7.8 / 16.6),571,602
" 
					 	林肯法球 ",19,57.9%,3.49   (9.7 / 7.4 / 16.0),547,589
" 
					 	先锋盾 ",6,16.7%,1.51   (3.8 / 7.8 / 8.0),427,421
" 
					 	刃甲 ",17,58.8%,2.58   (5.1 / 6.9 / 12.6),641,547
" 
					 	挑战头巾 ",2,50.0%,3.23   (6.5 / 6.5 / 14.5),466,610
" 
					 	圣剑 ",1,100.0%,1.33   (7.0 / 18.0 / 17.0),482,464
" 
					 	金箍棒 ",24,58.3%,2.87   (14.0 / 9.3 / 12.5),620,592
" 
					 	辉耀 ",37,54.1%,3.03   (6.0 / 6.9 / 14.9),833,645
" 
					 	蝴蝶 ",15,73.3%,4.13   (12.7 / 6.2 / 12.9),713,641
" 
					 	代达罗斯之殇 ",30,73.3%,4.06   (14.0 / 6.5 / 12.3),664,648
" 
					 	碎颅锤 ",13,53.8%,3.19   (9.4 / 6.4 / 11.0),589,609
" 
					 	狂战斧 ",25,56.0%,3.46   (9.5 / 6.2 / 11.8),628,629
" 
					 	recipe_manta ",1,0.0%,2.14   (5.0 / 7.0 / 10.0),474,499
" 
					 	幻影斧 ",75,65.3%,3.58   (8.4 / 6.2 / 13.9),734,645
" 
					 	水晶剑 ",6,0.0%,1.63   (6.8 / 11.8 / 12.5),480,510
" 
					 	莫尔迪基安的臂章 ",8,50.0%,1.62   (6.5 / 8.1 / 6.6),525,426
" 
					 	影刃 ",36,58.3%,3.08   (9.3 / 6.7 / 11.3),562,580
" 
					 	散夜对剑 ",48,64.6%,2.90   (9.3 / 7.1 / 11.4),575,579
" 
					 	撒旦之邪力 ",7,100.0%,3.89   (13.0 / 6.7 / 13.1),702,674
" 
					 	雷神之锤 ",4,75.0%,4.64   (13.0 / 7.0 / 19.5),596,606
" 
					 	斯嘉蒂之眼 ",42,66.7%,4.69   (9.5 / 4.7 / 12.5),690,654
" 
					 	散华 ",3,33.3%,1.23   (7.0 / 11.7 / 7.3),445,386
" 
					 	支配头盔 ",16,56.3%,2.23   (7.3 / 7.2 / 8.8),554,568
" 
					 	漩涡 ",2,50.0%,2.18   (3.0 / 5.5 / 9.0),466,450
" 
					 	黯灭 ",17,52.9%,2.87   (8.8 / 7.2 / 12.0),538,575
" 
					 	夜叉 ",23,39.1%,2.80   (6.3 / 6.0 / 10.6),531,544
" 
					 	疯狂面具 ",44,59.1%,3.29   (10.6 / 6.6 / 11.0),562,583
" 
					 	净魂之刃 ",18,61.1%,3.32   (7.7 / 5.7 / 11.3),531,546
" 
					 	虚灵之刃 ",3,66.7%,4.23   (15.0 / 7.3 / 16.0),511,581
" 
					 	灵魂之戒 ",33,42.4%,2.09   (5.6 / 7.3 / 9.6),474,454
" 
					 	奥术鞋 ",43,51.2%,2.21   (2.7 / 5.7 / 9.8),371,355
" 
					 	淬毒之珠 ",6,66.7%,3.10   (5.5 / 5.2 / 10.5),530,457
" 
					 	圆盾 ",20,35.0%,1.20   (2.7 / 6.8 / 5.5),365,329
" 
					 	韧鼓 ",67,47.8%,2.19   (5.5 / 7.4 / 10.6),433,432
" 
					 	勇气勋章 ",3,0.0%,1.35   (4.3 / 10.3 / 9.7),356,428
" 
					 	诡计之雾 ",6,16.7%,1.58   (1.8 / 6.7 / 8.7),282,282
" 
					 	纷争面纱 ",6,50.0%,2.28   (4.8 / 7.2 / 11.5),425,427
" 
					 	死灵书 ",11,81.8%,2.81   (4.3 / 5.8 / 12.1),444,424
" 
					 	净魂之刃 ",8,87.5%,4.45   (12.5 / 6.4 / 15.9),596,628
" 
					 	达贡之神力 ",10,60.0%,3.90   (13.5 / 8.3 / 18.9),599,603
" 
					 	阿托斯之棍 ",13,53.8%,2.75   (9.3 / 6.5 / 8.5),535,535
" 
					 	深渊之刃 ",22,54.5%,4.01   (12.0 / 6.0 / 11.9),717,644
" 
					 	天堂之戟 ",8,62.5%,1.76   (7.3 / 9.4 / 9.3),481,450
" 
					 	天鹰之戒 ",54,46.3%,2.56   (5.1 / 6.3 / 11.1),486,491
" 
					 	静谧之鞋 ",70,58.6%,2.52   (5.2 / 7.2 / 12.9),421,443
" 
					 	魔法芒果 ",1,100.0%,19.00   (5.0 / 1.0 / 14.0),540,416
" 
					 	侦查·岗哨守卫 ",5,40.0%,1.47   (3.8 / 10.2 / 11.2),357,320
" 
					 	远行鞋 ",16,81.3%,3.66   (10.4 / 7.7 / 17.8),716,609
" 
					 	清莲宝珠 ",8,100.0%,4.31   (8.4 / 6.8 / 20.8),527,522
" 
					 	炎阳纹章 ",7,71.4%,1.88   (6.1 / 9.1 / 11.0),409,396
" 
					 	卫士胫甲 ",12,83.3%,3.51   (5.7 / 6.8 / 18.0),474,445
" 
					 	以太之镜 ",11,54.5%,2.54   (6.4 / 8.7 / 15.8),398,393
" 
					 	玲珑心 ",28,67.9%,3.19   (5.7 / 6.8 / 15.9),887,677
" 
					 	魔龙枪 ",25,52.0%,2.43   (7.1 / 7.0 / 9.8),433,452
" 
					 	寒铁钢爪 ",5,60.0%,2.91   (2.4 / 4.4 / 10.4),411,386
" 
					 	树之祭祀（共享） ",3,100.0%,9.33   (1.0 / 1.0 / 8.3),434,372
" 
					 	赤红甲 ",5,100.0%,13.11   (7.2 / 1.8 / 16.4),599,487
" 
					 	银月之晶 ",14,85.7%,4.70   (10.4 / 5.0 / 13.1),648,634
" 
					 	白银之锋 ",1,0.0%,1.00   (1.0 / 5.0 / 4.0),397,430
" 
					 	微光披风 ",16,56.3%,2.92   (8.7 / 8.7 / 16.7),486,528
