物品,使用次数,胜率,KDA (K / D / A),金钱/分钟,经验/分钟
" 
					 	原力法杖 ",252,59.9%,2.57   (3.2 / 5.5 / 10.9),337,370
" 
					 	recipe_dagon ",1,100.0%,10.00   (8.0 / 2.0 / 12.0),542,671
" 
					 	达贡之神力 ",3,100.0%,4.82   (5.0 / 3.7 / 12.7),515,515
" 
					 	阿哈利姆神杖 ",84,75.0%,3.24   (5.0 / 5.5 / 12.8),391,419
" 
					 	刷新球 ",47,74.5%,4.01   (4.6 / 4.6 / 13.8),418,466
" 
					 	强袭胸甲 ",11,63.6%,2.52   (6.9 / 7.6 / 12.4),548,537
" 
					 	恐鳌之心 ",7,100.0%,6.16   (10.0 / 3.6 / 12.0),504,554
" 
					 	黑皇杖 ",230,67.8%,2.88   (4.4 / 5.4 / 11.2),411,434
" 
					 	不朽之守护 ",10,100.0%,3.98   (6.6 / 4.4 / 10.9),507,513
" 
					 	recipe_shivas_guard ",2,0.0%,1.25   (4.5 / 12.0 / 10.5),328,338
" 
					 	希瓦的守护 ",71,80.3%,3.91   (5.0 / 4.5 / 12.8),438,484
" 
					 	血精石 ",25,76.0%,3.52   (5.4 / 4.0 / 8.6),446,473
" 
					 	林肯法球 ",5,80.0%,4.55   (6.2 / 4.0 / 12.0),556,600
" 
					 	先锋盾 ",22,63.6%,2.84   (4.6 / 4.3 / 7.7),424,433
" 
					 	刃甲 ",36,52.8%,2.29   (3.3 / 6.3 / 11.0),345,353
" 
					 	振魂石 ",4,75.0%,2.75   (2.3 / 4.0 / 8.8),372,404
" 
					 	挑战头巾 ",8,25.0%,1.19   (2.1 / 7.1 / 6.4),350,371
" 
					 	圣剑 ",1,100.0%,5.20   (4.0 / 5.0 / 22.0),330,422
" 
					 	金箍棒 ",9,77.8%,3.62   (7.0 / 5.9 / 14.3),549,527
" 
					 	辉耀 ",4,50.0%,2.68   (6.0 / 5.5 / 8.8),831,641
" 
					 	蝴蝶 ",6,83.3%,3.85   (8.5 / 5.5 / 12.7),533,563
" 
					 	代达罗斯之殇 ",13,92.3%,4.91   (9.5 / 5.2 / 15.8),610,613
" 
					 	碎颅锤 ",4,50.0%,3.42   (6.0 / 4.8 / 10.3),468,517
" 
					 	狂战斧 ",6,50.0%,2.69   (7.3 / 5.8 / 8.3),540,597
" 
					 	幻影斧 ",15,66.7%,3.32   (7.3 / 5.8 / 12.0),613,605
" 
					 	水晶剑 ",7,100.0%,5.44   (6.7 / 3.6 / 12.7),567,594
" 
					 	莫尔迪基安的臂章 ",12,58.3%,2.84   (4.6 / 4.3 / 7.5),429,435
" 
					 	影刃 ",31,77.4%,4.41   (5.0 / 3.8 / 12.0),499,496
" 
					 	散夜对剑 ",20,85.0%,5.48   (7.7 / 3.2 / 9.6),531,520
" 
					 	撒旦之邪力 ",1,0.0%,2.80   (10.0 / 5.0 / 4.0),519,635
" 
					 	recipe_mjollnir ",1,0.0%,2.67   (1.0 / 3.0 / 7.0),363,432
" 
					 	雷神之锤 ",12,83.3%,3.23   (5.3 / 5.8 / 13.5),553,500
" 
					 	斯嘉蒂之眼 ",4,75.0%,3.87   (6.8 / 5.8 / 15.5),561,542
" 
					 	散华 ",9,77.8%,2.63   (2.8 / 5.7 / 12.1),405,416
" 
					 	支配头盔 ",1,100.0%,19.00   (10.0 / 1.0 / 9.0),593,544
" 
					 	漩涡 ",4,0.0%,1.60   (5.5 / 8.8 / 8.5),409,436
" 
					 	黯灭 ",4,100.0%,4.33   (6.5 / 3.8 / 9.8),543,603
" 
					 	夜叉 ",12,50.0%,1.95   (4.8 / 5.4 / 5.8),434,433
" 
					 	疯狂面具 ",15,60.0%,2.76   (4.5 / 5.0 / 9.3),391,439
" 
					 	净魂之刃 ",1,0.0%,2.43   (4.0 / 7.0 / 13.0),326,336
" 
					 	虚灵之刃 ",1,100.0%,5.50   (13.0 / 4.0 / 9.0),676,707
" 
					 	灵魂之戒 ",124,54.8%,2.47   (2.5 / 5.0 / 9.7),374,396
" 
					 	奥术鞋 ",170,52.4%,2.34   (2.6 / 4.8 / 8.7),323,348
" 
					 	淬毒之珠 ",2,50.0%,1.93   (5.0 / 7.0 / 8.5),360,318
" 
					 	圆盾 ",90,45.6%,1.79   (1.8 / 4.7 / 6.5),318,323
" 
					 	韧鼓 ",49,63.3%,2.59   (3.3 / 4.2 / 7.7),385,380
" 
					 	勇气勋章 ",6,33.3%,1.88   (2.7 / 5.7 / 8.0),300,293
" 
					 	诡计之雾 ",9,44.4%,1.79   (1.8 / 4.7 / 6.6),322,349
" 
					 	纷争面纱 ",2,50.0%,2.93   (4.0 / 7.5 / 18.0),412,399
" 
					 	死灵书 ",1,0.0%,1.50   (3.0 / 4.0 / 3.0),376,371
" 
					 	死灵书 ",36,61.1%,2.96   (3.6 / 5.1 / 11.5),484,452
" 
					 	净魂之刃 ",1,100.0%,4.67   (11.0 / 6.0 / 17.0),590,635
" 
					 	达贡之神力 ",2,100.0%,13.67   (9.5 / 1.5 / 11.0),463,495
" 
					 	达贡之神力 ",1,100.0%,15.00   (5.0 / 1.0 / 10.0),484,496
" 
					 	达贡之神力 ",6,100.0%,4.81   (9.0 / 4.5 / 12.7),539,602
" 
					 	阿托斯之棍 ",1,100.0%,5.50   (13.0 / 4.0 / 9.0),676,707
" 
					 	深渊之刃 ",5,80.0%,4.32   (11.6 / 6.2 / 15.2),705,571
" 
					 	天堂之戟 ",17,52.9%,3.38   (6.4 / 5.5 / 12.1),435,482
" 
					 	天鹰之戒 ",18,61.1%,2.80   (5.6 / 5.0 / 8.4),456,469
" 
					 	静谧之鞋 ",186,52.2%,2.27   (3.2 / 5.7 / 9.6),353,379
" 
					 	暗影护符 ",4,50.0%,2.53   (2.0 / 4.8 / 10.0),345,383
" 
					 	魔法芒果 ",2,50.0%,0.22   (0.0 / 4.5 / 1.0),180,104
" 
					 	清莲宝珠 ",10,70.0%,2.83   (2.8 / 7.1 / 17.3),371,418
" 
					 	炎阳纹章 ",10,50.0%,2.56   (2.4 / 5.4 / 11.4),354,344
" 
					 	卫士胫甲 ",58,72.4%,2.82   (2.3 / 5.3 / 12.6),384,410
" 
					 	以太之镜 ",2,50.0%,2.93   (4.0 / 7.0 / 16.5),390,374
" 
					 	玲珑心 ",4,75.0%,3.83   (6.3 / 4.5 / 11.0),793,618
" 
					 	魔龙枪 ",3,100.0%,6.00   (5.3 / 3.0 / 12.7),422,425
" 
					 	仙灵之火 ",2,50.0%,1.55   (2.0 / 5.5 / 6.5),319,335
" 
					 	寒铁钢爪 ",7,42.9%,2.04   (1.7 / 4.0 / 6.4),338,355
" 
					 	银月之晶 ",4,100.0%,8.00   (11.8 / 3.0 / 12.3),612,587
" 
					 	微光披风 ",15,53.3%,2.93   (1.9 / 4.5 / 11.1),316,345
